title,org,level,term,closing_date,posted_date
"Senior Manager / Manager (Data Analytics), Programme Evaluation",Ministry of Health,Entry level,Permanent/Contract,Closing on 05 Apr 2022,6 day(s) ago
Deputy Chief Counsel (General Corporate),Info-communications Media Development Authority,Entry level,Contract,Closing in 2  day(s),2 week(s) ago
Senior Manager / Manager (Quality Service),Ministry of Health,Entry level,Permanent/Contract,Closing on 05 Apr 2022,6 day(s) ago
Medical Officer (1-Year Contract),Ministry of Health,Entry level,Contract,Closing on 05 Apr 2022,6 day(s) ago
"Manager / Senior Manager, Design Standards",Sport Singapore,Entry level,Permanent/Contract,Closing on 25 Mar 2022,3 day(s) ago
"Senior/ Assistant Director, Trade Strategy and Security Division",Ministry of Trade and Industry,Entry level,Permanent/Contract,Closing in 2  day(s),1 month(s) ago
"Assistant Director, Cross Border Travel Office (1-year contract)",Ministry of Trade and Industry,Entry level,Contract,Closing in 2  day(s),1 month(s) ago
"Senior/Assistant Director, International Trade Cluster",Ministry of Trade and Industry,Entry level,Permanent/Contract,Closing in 2  day(s),1 month(s) ago
"Senior/ Assistant Director, Emerging Markets Division",Ministry of Trade and Industry,Entry level,Permanent/Contract,Closing in 2  day(s),1 month(s) ago
Mechanical Engineer,Singapore Land Authority,06-10 year(s),Permanent/Contract,,
Civil and Structural Engineer,Singapore Land Authority,06-10 year(s),Permanent/Contract,,
"Executive, Estate Management (Islands) - 1 Year Contract",Singapore Land Authority,00-10 year(s),Contract,,
"Enforcement Officers for Islands (Part time, Weekends & PH)",Singapore Land Authority,Entry level,Casual,,
Community Management Executive (Temporary),People's Association,Entry level,External,Closing on 30 Apr 2022,3 week(s) ago
"Safe Distancing Enforcement Officers (3 months contract, Weekends & PH)",Singapore Land Authority,Entry level,Casual,,
"Senior Executive, Land Sale Private",Singapore Land Authority,Entry level,Contract,Closing in 2  day(s),6 day(s) ago
"Senior Executive, Land Sale & Lease Management",Singapore Land Authority,Entry level,Contract,Closing in 2  day(s),6 day(s) ago
"Senior Executive, Compulsory Acquisition",Singapore Land Authority,Entry level,Contract,,
"Systems Engineer / Senior Consultant (SingCERT), NCIRC",Cyber Security Agency of Singapore,03-08 year(s),Permanent/Contract,,
"Systems Engineer / Senior Consultant (Malware Analysis), NCIRC",Cyber Security Agency of Singapore,03-08 year(s),Permanent/Contract,,
Manager – Data Sourcing and Development (Use Case Development),Info-communications Media Development Authority,Entry level,Permanent/Contract,Closing on 22 Mar 2022,5 day(s) ago
"Senior Executive, Business Planning & Development",Singapore Land Authority,00-05 year(s),Permanent/Contract,Closing in 2  day(s),6 day(s) ago
"Senior/Assistant Director (Research & Development), IRD",Ministry of Trade and Industry,Entry level,Permanent/Contract,Closing on 30 Jun 2022,3 day(s) ago
"Senior/Assistant Director, (CSA Office), IRD",Ministry of Trade and Industry,Entry level,Permanent/Contract,Closing on 30 Jun 2022,3 day(s) ago
"Senior/Assistant Director, (Strategy & Planning), FSPD",Ministry of Trade and Industry,Entry level,Permanent/Contract,Closing in 6  day(s),1 week(s) ago
"Senior/Assistant Director, Futures Economy Planning Office, FSPD",Ministry of Trade and Industry,Entry level,Permanent/Contract,Closing on 24 Mar 2022,3 day(s) ago
"Senior/Assistant Director (Grants Management Office), EDD",Ministry of Trade and Industry,Entry level,Permanent/Contract,Closing on 30 Jun 2022,3 day(s) ago
"Senior/Assistant Director (GoBiz), Enterprise Development Division",Ministry of Trade and Industry,Entry level,Permanent/Contract,Closing on 30 Jun 2022,3 day(s) ago
"Senior/Assistant Director (Enterprise Policy), Enterprise Development Division",Ministry of Trade and Industry,Entry level,Permanent/Contract,Closing on 30 Jun 2022,3 day(s) ago
"Senior/Assistant Director (EPIC), Energy Division",Ministry of Trade and Industry,Entry level,Permanent/Contract,Closing in 6  day(s),1 week(s) ago
"Senior/Assistant Director (Lifestyle & Tourism), Industry Division",Ministry of Trade and Industry,Entry level,Permanent/Contract,Closing on 30 Jun 2022,3 day(s) ago
"Senior/Assistant Director (Manufacturing; Connectivity & Services), Industry Div",Ministry of Trade and Industry,Entry level,Permanent/Contract,Closing on 30 Jun 2022,3 day(s) ago
"Manager / Senior Manager / Assistant Director (Cyber Exercise Planner), JORD",Cyber Security Agency of Singapore,03-08 year(s),Permanent/Contract,,
"Assistant Director (Cyber Threat Intelligence), NCTMC",Cyber Security Agency of Singapore,05-12 year(s),Permanent/Contract,,
"Senior Consultant (Cyber Threat Analytics), NCTMC",Cyber Security Agency of Singapore,03-08 year(s),Permanent/Contract,,
"System Engineer / Senior Consultant (Infrastructure), NCTMC",Cyber Security Agency of Singapore,03-08 year(s),Permanent/Contract,,
Tax Officer / Senior Tax Officer [Tax Service Delivery],Inland Revenue Authority of Singapore,Entry level,Permanent/Contract,Closing on 25 Mar 2022,1 month(s) ago
Manager / Deputy Manager / Assistant Manager (Operations Support) - Technical,Civil Aviation Authority of Singapore,01-09 year(s),Contract,,
Senior Legal Counsel / Legal Counsel (Disputes and Advisory),JTC Corporation,04-08 year(s),Permanent/Contract,Closing in 2  day(s),3 week(s) ago
Senior / Assistant Director (Data Governance) – Data Access,Ministry of Health,Entry level,Permanent/Contract,Closing on 05 Apr 2022,6 day(s) ago
Lecturer (Civil Engineering) - School of Architecture & the Built Environment,Singapore Polytechnic,Entry level,Contract,Closing on 20 Mar 2022,3 week(s) ago
Principal/ Senior/ IT Manager (Solution Architecture) - 2 Years Contract,Maritime and Port Authority of Singapore,Entry level,Contract,Closing on 31 Mar 2022,1 week(s) ago
Principal/ Senior/ IT Manager (Software Architecture) - 2 Years Contract,Maritime and Port Authority of Singapore,Entry level,Contract,Closing on 31 Mar 2022,1 week(s) ago
Principal/ Senior/ IT Manager (Enterprise Architecture) - 2 Years Contract,Maritime and Port Authority of Singapore,Entry level,Contract,Closing on 31 Mar 2022,1 week(s) ago
"Assistant Manager/Senior Executive, Data & Systems Strategy (FEDS/FDG)",Ministry Of Social And Family Development,Entry level,Contract,Closing on 22 Mar 2022,6 day(s) ago
Senior / Health Policy Analyst (Behavioural Insights),Ministry of Health,Entry level,Permanent/Contract,Closing on 05 Apr 2022,6 day(s) ago
"Ops Planning Officer (Ops Development & Co-ordination), NCIRC",Cyber Security Agency of Singapore,03-08 year(s),Permanent/Contract,,
Senior Manager / Manager / Assistant Manager (SG Partnerships Office),"Ministry of Culture, Community and Youth",Entry level,Permanent/Contract,Closing on 20 Mar 2022,1 week(s) ago
"Assistant Manager to Senior Manager, Arts",Singapore Tourism Board,Entry level,Permanent,Closing on 25 Mar 2022,6 day(s) ago
"Locum, Vigilance & Compliance Branch (Temp for 11months)",Health Sciences Authority,Entry level,Casual,Closing in 5  day(s),1 week(s) ago
"Executive, Corporate / Strategic Planning [2-year contract]",SkillsFuture Singapore,Entry level,Fixed Terms,Closing on 22 Mar 2022,1 week(s) ago
"Manager / Senior Manager, Strategic Planning Division [2-year contract]",SkillsFuture Singapore,Entry level,Fixed Terms,Closing on 08 Apr 2022,3 day(s) ago
"Senior/Assistant Director (Business Partner), Finance Division",Ministry of Trade and Industry,03-05 year(s),Permanent/Contract,Closing on 24 Mar 2022,2 week(s) ago
Microservice Developer Intern,Inland Revenue Authority of Singapore,Entry level,Internship,Closing on 25 Mar 2022,1 month(s) ago
"Senior / Assistant Director (Data Analytics Division) – Manpower, ILTC and Acute",Ministry of Health,Entry level,Permanent/Contract,Closing on 05 Apr 2022,6 day(s) ago
Assistant Manager / Manager (Capability Development) Data Innovation and Protect,Info-communications Media Development Authority,Entry level,Permanent/Contract,Closing in 2  day(s),2 week(s) ago
"Assistant Director, MaxOps Data (1-year contract)",Ministry of Trade and Industry,Entry level,Contract,Closing in 2  day(s),1 month(s) ago
Senior Manager (HR Planning & Services),Maritime and Port Authority of Singapore,Entry level,Permanent,Closing on 31 Mar 2022,1 week(s) ago
Manager (Procurement Policy & Compliance),MINDEF,Entry level,Permanent,Closing today,4 week(s) ago
"Manager/ Senior Manager (Industry Innovation), Ecosystem Development Division, C",Cyber Security Agency of Singapore,03-06 year(s),Permanent/Contract,Closing on 31 Mar 2022,1 week(s) ago
"Assistant Director (Industry Innovation), Ecosystem Development Division, CSA",Cyber Security Agency of Singapore,08-10 year(s),Permanent/Contract,Closing on 31 Mar 2022,1 week(s) ago
"Assistant Director / Associate, Foreign Investment Accounting",Monetary Authority of Singapore,Entry level,Permanent,,
Systems Analyst (Full-Stack Software Engineer),Urban Redevelopment Authority,Entry level,Permanent/Contract,,
Assistant Manager / Manager (Dormitory Operations),JTC Corporation,Entry level,Contract,Closing on 26 Mar 2022,2 week(s) ago
"Assistant/ Manager, Healthy Food and Dining Division",Health Promotion Board,Entry level,Permanent,Closing in 3  day(s),3 week(s) ago
"Consultant/Senior Consultant, ILOD",Civil Service College,Entry level,Permanent,,
Senior Manager/Manager - Project (Data Science Accelerator),Central Provident Fund Board,Entry level,Contract,Closing on 31 Mar 2022,1 week(s) ago
Senior Manager / Manager (Contracts / Assets / Governance) CFTG,Ministry of Health,Entry level,Contract,Closing on 05 Apr 2022,6 day(s) ago
Senior / Health Policy Analyst (Resourcing & Retention),Ministry of Health,Entry level,Permanent/Contract,Closing on 05 Apr 2022,6 day(s) ago
"Senior Manager /Manager , Industry Development Division 1 (2-years contract)",SkillsFuture Singapore,Entry level,Fixed Terms,Closing on 31 Mar 2022,1 month(s) ago
"Senior/Assistant Director(Media Relations), Comms and Engagement Division",Ministry of Trade and Industry,Entry level,Permanent/Contract,Closing in 4  day(s),1 week(s) ago
Technical Manager,Singapore Land Authority,07-00 year(s),Contract,Closing in 2  day(s),1 month(s) ago
Senior/ Principal Tax Information Exchange Officer (ITaRD),Inland Revenue Authority of Singapore,Entry level,Permanent/Contract,,
Manager/ Senior Manager (Corporate Communications),Maritime and Port Authority of Singapore,Entry level,Permanent,Closing on 31 Mar 2022,1 week(s) ago
Senior Manager / Manager (Cybersecurity) – Regulatory Oversight,Civil Aviation Authority of Singapore,04-10 year(s),Permanent/Contract,,
Cyber Security Researcher (Windows),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Cyber Security Software Engineer (Network Devices),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Cyber Security Software Engineer (Linux),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Cyber Security Software Engineer (Mobile),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Cyber Security Software Engineer (Windows),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Cyber Security Vulnerability Researcher (Network Devices),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Cyber Security Vulnerability Researcher (Linux),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Cyber Security Vulnerability Researcher (Mobile),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Cyber Security Vulnerability Researcher (Windows),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Cyber Security Vulnerability Researcher (Cloud Platform),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Cyber Security Vulnerability Researcher (Cloud/IM Services),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Cloud Solution Architect,Centre for Strategic Infocomm Technologies,06-08 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Cloud Infrastructure Engineer,Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Cloud Engineer,Centre for Strategic Infocomm Technologies,02-05 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Cybersecurity Operations Specialists (National Digital Identity),Government Technology Agency,Entry level,Fixed Terms,,
(Senior) Database Engineer,Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Lead Cybersecurity Engineer (Cloud Product Security),Government Technology Agency,Entry level,Permanent,,
Senior Cybersecurity Engineer (Team Lead for Cloud Hosted Infrastructure),Government Technology Agency,Entry level,Fixed Terms,,
(Senior) Data Platform Engineer (Big Data Platform),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Assistant/ Senior/ Manager (HR Communications & Engagement) (2-year contract),Maritime and Port Authority of Singapore,Entry level,Contract,Closing on 31 Mar 2022,1 week(s) ago
Cybersecurity Engineers (Security Operations),Government Technology Agency,Entry level,Fixed Terms,,
Application Infrastructure Engineer (Enterprise Cloud Software Development),Government Technology Agency,Entry level,Fixed Terms,,
"Senior/ Manager, Regional Health & Community Outreach",Health Promotion Board,Entry level,Permanent,Closing in 2  day(s),2 week(s) ago
Application Infrastructure Engineer (Cloud Infrastructure Projects),Government Technology Agency,Entry level,Fixed Terms,,
Agency Chief Information Security Officer,Government Technology Agency,Entry level,Permanent,,
Cybersecurity Operations Specialists (National Digital Identity),Government Technology Agency,Entry level,Fixed Terms,,
Lead Cybersecurity Engineer (Cloud Product Security),Government Technology Agency,Entry level,Permanent,,
Senior Cybersecurity Engineer (Team Lead for Cloud Hosted Infrastructure),Government Technology Agency,Entry level,Fixed Terms,,
"Manager, School Health Outreach (EI) (Maternity Coverage)",Health Promotion Board,Entry level,Fixed Terms,Closing in 2  day(s),1 month(s) ago
Senior Consultant / Consultant (Critical Information Infrastructure Division),Cyber Security Agency of Singapore,03-08 year(s),Permanent/Contract,Closing on 31 Mar 2022,1 month(s) ago
"Assistant Director / Deputy Director, AML Analytics",Monetary Authority of Singapore,Entry level,Permanent,Closing on 31 Mar 2022,1 week(s) ago
"Senior Associate/Manager, HROD - Talent Attraction (1+1 year contract)",Economic Development Board,03-06 year(s),Contract,,
"Snr Lead, Infrastructure Asia (Capital Raising)",Enterprise Singapore,Entry level,Permanent,Closing in 4  day(s),1 week(s) ago
"Lead, Infrastructure Asia (Media & Partnerships)",Enterprise Singapore,Entry level,Permanent,Closing in 4  day(s),1 week(s) ago
Senior Manager / Manager (Cybersecurity) – Security Operations Centre (SOC),Civil Aviation Authority of Singapore,04-10 year(s),Permanent/Contract,,
Senior Manager / Manager (Cybersecurity) – ICT Security,Civil Aviation Authority of Singapore,04-10 year(s),Permanent/Contract,,
"Consultant to Senior Consultant, Analytics & Insights",Singapore Tourism Board,Entry level,Permanent,,
Manager / Senior Manager (Inspection & Compliance),Casino Regulatory Authority,Entry level,Permanent/Contract,Closing in 6  day(s),1 week(s) ago
Customer Service Executive (Woodlands Call Centre) – Contract,Central Provident Fund Board,Entry level,Contract,Closing in 2  day(s),1 week(s) ago
"Senior Manager, Strategic Leadership (Sun Ray & Boards)",National Council of Social Service,00-10 year(s),Contract,Closing on 21 Mar 2022,1 month(s) ago
"Assistant / Manager, Operations Technologies Capabilities, ACE Group - Contract",Ministry of Manpower,Entry level,Contract,Closing on 20 Mar 2022,1 month(s) ago
"Senior / Assistant Director, Ops Tech Centre, ACE Group – Contract",Ministry of Manpower,Entry level,Contract,Closing on 20 Mar 2022,1 month(s) ago
Field Data Entry & Collection Executive (11 Months Contract),Singapore Land Authority,Entry level,Contract,Closing on 28 Mar 2022,3 day(s) ago
"Senior Exec, Finance (System, Process & Change Management) (6-month contrac",Intellectual Property Office of Singapore,Entry level,Contract,Closing in 5  day(s),3 week(s) ago
"Senior Exec, Finance (System, GST & Audit) (6-month contract with the optio",Intellectual Property Office of Singapore,Entry level,Contract,Closing in 5  day(s),3 week(s) ago
"Assistant Director, Integrated Marketing (2-year contract)",SkillsFuture Singapore,Entry level,Contract,Closing on 22 Mar 2022,1 week(s) ago
"Learning & Development Specialist, Strategic HR",Civil Service College,02-08 year(s),Permanent/Contract,,
"Assistant Director (WOG ICT Infra), Policy and Governance Directorate",Smart Nation and Digital Government Office,08-10 year(s),Permanent/Contract,Closing on 30 Apr 2022,2 week(s) ago
"Assistant Director (WOG FWP Team),  Policy and Governance Directorate",Smart Nation and Digital Government Office,08-10 year(s),Permanent/Contract,Closing on 29 Apr 2022,2 week(s) ago
Finance Officer - A&F,MHA - Singapore Police Force (SPF),Entry level,Permanent/Contract,Closing in 2  day(s),1 week(s) ago
"Assistant Director / Associate, Payments Supervision (PD)",Monetary Authority of Singapore,Entry level,Permanent,Closing on 22 Mar 2022,2 week(s) ago
"Assistant Director / Associate, Settlements Division",Monetary Authority of Singapore,Entry level,Permanent,,
Temp Staff - Emergency Preparedness - 6 Mth Contract,Maritime and Port Authority of Singapore,Entry level,Contract,Closing on 31 Mar 2022,1 week(s) ago
Manager (COVID Operations and Response) - 1 Yeas and Response) - 6 Mth Contract,Maritime and Port Authority of Singapore,Entry level,Contract,Closing on 31 Mar 2022,1 week(s) ago
"Senior / Manager, ACE Communications and Engagement Centre - Contract",Ministry of Manpower,Entry level,Contract,Closing on 24 Mar 2022,1 week(s) ago
Senior Legal Specialist (Litigation Branch),Inland Revenue Authority of Singapore,Entry level,Permanent/Contract,,
Senior Associate (Litigation Branch),Inland Revenue Authority of Singapore,Entry level,Permanent/Contract,,
"Assistant Director / Associate, Notes & Services (Note Management Services)",Monetary Authority of Singapore,Entry level,Permanent,Closing on 31 Mar 2022,1 month(s) ago
"Assistant Director / Associate, Partners Division (Finance)",Monetary Authority of Singapore,Entry level,Permanent,Closing on 21 Mar 2022,1 month(s) ago
"Senior Executive/ Assistant Manager (Performance & Rewards Management), HRD",Ministry Of Social And Family Development,Entry level,Permanent/Contract,Closing on 21 Mar 2022,1 week(s) ago
Public Communications Officer / Senior Public Communications Officer,MHA- Central Narcotics Bureau,Entry level,Permanent/Contract,Closing in 6  day(s),1 week(s) ago
Senior Manager/Manager (Workplace Development/Data and Digitalisation Unit),National Council of Social Service,Entry level,Contract,Closing on 23 Mar 2022,1 month(s) ago
"#SGUnitedJobs Deputy/Asst. Director, Conduct Surveillance and Analytics",Monetary Authority of Singapore,Entry level,Contract,,
Assistant Director (Human Resource) - HRIS,Central Provident Fund Board,Entry level,Contract,Closing on 31 Mar 2022,1 week(s) ago
Analyst/Lead Analyst/Principal Analyst (Research and Analytics),Central Provident Fund Board,Entry level,Contract,Closing on 31 Mar 2022,1 week(s) ago
"Senior/ Assistant Director, Supply Chain Resilience Division",Ministry of Trade and Industry,Entry level,Permanent/Contract,Closing in 2  day(s),3 week(s) ago
#SGUnitedJobs Deputy / Asst. Director – Corporate Finance & Investment Prdts,Monetary Authority of Singapore,Entry level,Contract,Closing on 21 Mar 2022,1 month(s) ago
"Deputy Director / Asst. Director (Inspection), Capital Markets Intermediaries",Monetary Authority of Singapore,Entry level,Permanent,,
"Deputy Director / Assistant Director, Capital Markets Intermediaries (CMI III)",Monetary Authority of Singapore,Entry level,Permanent,,
Public Service Leadership Programme (For Graduating Students/Fresh Graduates),Public Service Division,Entry level,Permanent/Contract,,
Assistant Director / Senior Manager (Market Policy & Regulations),Info-communications Media Development Authority,Entry level,Permanent/Contract,Closing on 22 Mar 2022,5 day(s) ago
Public Service Leadership Careers (PSLC),Public Service Division,Entry level,Permanent/Contract,,
"Senior/Principal Executive, Estate Management ( 11 Months Contract)",Singapore Land Authority,Entry level,Contract,Closing on 28 Mar 2022,1 month(s) ago
Manager / Senior Manager (Financial Analysis & Monitoring)),Casino Regulatory Authority,Entry level,Permanent/Contract,Closing in 6  day(s),1 week(s) ago
Senior Manager/Manager (Data Science Accelerator),Central Provident Fund Board,Entry level,Contract,Closing on 31 Mar 2022,1 week(s) ago
"Senior Executive/Assistant Manager (Strategic Communications & Research, CD)",Ministry Of Social And Family Development,Entry level,Permanent/Contract,Closing on 21 Mar 2022,1 week(s) ago
Internship : Piloting Transformation in MCCY with a Policy Division,"Ministry of Culture, Community and Youth",Entry level,Internship,Closing on 31 Mar 2022,1 month(s) ago
Internship : (A) Desktop Research (B) Data analysis and visualisation,"Ministry of Culture, Community and Youth",Entry level,Internship,Closing on 31 Mar 2022,1 month(s) ago
Senior Manager / Manager / Assistant Manager (CMTG Call Centre - Night Duty),Ministry of Health,Entry level,Contract,Closing on 05 Apr 2022,6 day(s) ago
Lecturer / Diploma in Product & Industrial Design,Temasek Polytechnic,04-10 year(s),Contract,Closing on 21 Mar 2022,6 day(s) ago
Engineer (Air Traffic Management Systems),Civil Aviation Authority of Singapore,00-12 year(s),Permanent/Contract,Closing on 31 Mar 2022,1 month(s) ago
"Manager/Senior Manager (WOG ICT Infra), Policy and Governance Directorate",Smart Nation and Digital Government Office,Entry level,Permanent/Contract,Closing on 14 Apr 2022,3 week(s) ago
"Contract Assistant Social Media Manager, Digital (11 months)",Singapore Tourism Board,02-03 year(s),Contract,,
"Assistant Manager, HR Compensation & Benefits",Singapore Land Authority,Entry level,Contract,,
"Deputy Director, Platform Engineer",Monetary Authority of Singapore,Entry level,Permanent,Closing on 31 Mar 2022,1 week(s) ago
"Associate/Senior Associate, Essential Goods Supplies (Contract)",Enterprise Singapore,Entry level,Contract,Closing in 2  day(s),1 week(s) ago
Technical Executive / Senior Technical Executive,Temasek Polytechnic,03-05 year(s),Contract,Closing on 24 Mar 2022,2 week(s) ago
"Mgr/Snr Mgr, International Relations Unit (Workplace Policy and Strategy Div)",Ministry of Manpower,Entry level,Permanent/Contract,Closing on 31 Mar 2022,1 week(s) ago
Senior/Research Specialist,National Council of Social Service,Entry level,Contract,Closing on 23 Mar 2022,1 month(s) ago
"Senior Manager/Principal Manager/Assistant Director,HR Sector Development - MPPD",Ministry of Manpower,Entry level,Permanent/Contract,Closing on 23 Mar 2022,5 day(s) ago
"SENIOR EXECUTIVE, ADMIN - CET ACADEMY",Ngee Ann Polytechnic,03-05 year(s),Contract,Closing today,2 week(s) ago
Senior / Principal Tax Auditor (Goods & Services Tax Division),Inland Revenue Authority of Singapore,Entry level,Permanent/Contract,Closing on 25 Mar 2022,1 month(s) ago
Senior Manager / Manager / Assistant Manager (Strategy & Planning),Civil Aviation Authority of Singapore,00-10 year(s),Contract,,
Business Analyst (Property Tax Division),Inland Revenue Authority of Singapore,Entry level,Permanent/Contract,Closing on 25 Mar 2022,1 month(s) ago
"Deputy/Asst. Director/Associate, Investment Risk Mgmt (Internal Fund Mgmt)",Monetary Authority of Singapore,Entry level,Permanent,Closing on 30 Apr 2022,3 day(s) ago
"Manager / Senior Manager, CX Analytics – CRD",Ministry of Manpower,Entry level,Permanent/Contract,Closing in 5  day(s),1 week(s) ago
"Manager/Senior Manager, Procurement, Assurance & Corporate Excellence (ACE)",Sport Singapore,Entry level,Permanent/Contract,Closing on 25 Mar 2022,3 day(s) ago
"Associate/Senior Associate, Digital Content Producer",Enterprise Singapore,Entry level,Contract,Closing in 2  day(s),1 week(s) ago
Executive/ Senior Executive (Cash Management & Payments) Ops - Contract,Accountant-General's Department,Entry level,Contract,Closing today,2 week(s) ago
"Senior/Assistant Director (Programme Evaluation), Economics Division",Ministry of Trade and Industry,Entry level,Permanent/Contract,,
Senior Manager / Manager (Corporate Communications),Civil Aviation Authority of Singapore,04-08 year(s),Contract,Closing on 31 Mar 2022,1 month(s) ago
"Manager, Common Process Group, Customer Operations (Work Pass Division)",Ministry of Manpower,Entry level,Permanent/Contract,,
"Researcher/Senior Researcher, ILOD",Civil Service College,02-08 year(s),Permanent/Contract,,
Manager/Senior Manager (Adoption and Engagement),Smart Nation and Digital Government Office,Entry level,Permanent/Contract,Closing on 14 Apr 2022,3 week(s) ago
"Senior Manager / Manager (Planning, Strategy & Data)",Info-communications Media Development Authority,Entry level,Contract,Closing on 24 Mar 2022,1 week(s) ago
"Senior Manager / Manager, Engagement Department - FMMD",Ministry of Manpower,Entry level,Permanent/Contract,Closing on 23 Mar 2022,5 day(s) ago
"Senior Executive, Land Acquisition",Singapore Land Authority,Entry level,Permanent/Contract,,
"SENIOR ENGINEER, ASSET ENGINEERING (POWER & SERVICES – MECHANICAL)",Land Transport Authority,06-00 year(s),Contract,Closing on 24 Mar 2022,2 week(s) ago
Cybersecurity Engineer (DevSecOps),JTC Corporation,Entry level,Permanent/Contract,Closing in 2  day(s),2 week(s) ago
Software Engineer/Developer (Contract),JTC Corporation,Entry level,Contract,Closing on 04 Apr 2022,6 day(s) ago
Director (Billing & Reporting),JTC Corporation,Entry level,Permanent,Closing on 01 Apr 2022,1 week(s) ago
Senior Manager / Manager / Assistant Manager (Residential Care),Ministry of Health,Entry level,Permanent/Contract,Closing in 2  day(s),4 week(s) ago
Senior Manager / Manager / Assistant Manager (Contract Management),Ministry of Health,Entry level,Contract,Closing in 2  day(s),4 week(s) ago
Senior Manager / Manager / Assistant Manager (Housing),Ministry of Health,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Senior/ Lecturer (Nursing) - School of Health & Social Sciences,Nanyang Polytechnic,Entry level,Permanent/Contract,Closing on 21 Mar 2022,2 week(s) ago
"Development Partner / Senior Development Partner, Education",Enterprise Singapore,Entry level,Permanent/Contract,Closing on 31 Mar 2022,1 week(s) ago
"#SGUnitedJobs Assistant Director, Payment Systems (Contract)",Monetary Authority of Singapore,Entry level,Contract,Closing on 31 Mar 2022,1 week(s) ago
Senior Manager / Manager (Strategic Planning) (1-Year Contract),Ministry of Health,Entry level,Contract,Closing in 2  day(s),4 week(s) ago
Senior Manager / Manager / Assistant Manager (Anticipatory Operations Centre),Ministry of Health,Entry level,Contract,Closing in 2  day(s),4 week(s) ago
Senior Manager / Manager / Assistant Manager (HR Partnership) (1-Year Contract),Ministry of Health,Entry level,Contract,Closing in 2  day(s),4 week(s) ago
Senior Manager / Manager / Assistant Manager (Successful Ageing),Ministry of Health,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Manager (Policy and Plans) (1-Year Contract),Ministry of Health,Entry level,Contract,Closing in 2  day(s),4 week(s) ago
Senior Executive / Executive (Case Management Task Group),Ministry of Health,Entry level,Contract,Closing in 2  day(s),4 week(s) ago
Public Health Officer (Epidemiology) (1-Year Contract),Ministry of Health,Entry level,Contract,Closing in 5  day(s),3 week(s) ago
Senior / Public Health Officer (Communicable Diseases Policy and Preparedness),Ministry of Health,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
"Senior / Public Health Officer (Surveillance, Epidemiology & Response)",Ministry of Health,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Senior / Statistician (Population Health / Communicable Diseases Analytics),Ministry of Health,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Manager (Internal Audit),Ministry of Health,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Assistant Director / Senior Manager (Corporate Communications),Ministry of Health,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
"Senior Executive/Assistant Development Partner, Leisure, Hospitality & Education",Enterprise Singapore,Entry level,Contract,Closing on 31 Mar 2022,1 week(s) ago
"Executive / Senior Executive, Leisure, Hospitality and Education",Enterprise Singapore,Entry level,Contract,Closing on 31 Mar 2022,1 week(s) ago
"Executive/Senior Executive/Assistant Development Partner, Retail & Design",Enterprise Singapore,Entry level,Permanent/Contract,Closing on 22 Mar 2022,6 day(s) ago
"Executive / Senior Executive, Food Services",Enterprise Singapore,Entry level,Contract,Closing on 22 Mar 2022,6 day(s) ago
"Development Partner / Senior Development Partner, Heartland Enterprise",Enterprise Singapore,Entry level,Permanent/Contract,Closing on 31 Mar 2022,1 week(s) ago
"Executive / Senior Executive, Food Manufacturing",Enterprise Singapore,Entry level,Contract,Closing on 22 Mar 2022,6 day(s) ago
"Development Partner, Food Services",Enterprise Singapore,Entry level,Permanent/Contract,Closing on 31 Mar 2022,1 week(s) ago
